dataset-subtask,Llama-3.1-8B-Instruct · h2o,Qwen2.5-7B-Instruct-1M · kvzip,deepseek-v4-flash · floor,deepseek-v4-flash · full_context,deepseek-v4-flash · rag_bm25_k15,deepseek-v4-flash · rag_bm25_k5,llama-3.1-8b-instruct · floor,llama-3.1-8b-instruct · full_context,llama-3.1-8b-instruct · rag_bm25_k15,llama-3.1-8b-instruct · rag_bm25_k5,mplus-8b · memoryllm
longmemeval-OVERALL,0.066 (470),0.523 (470),0.006 (470),0.687 (470),,0.594 (470),0.002 (470),0.462 (444),,0.404 (470),0.423 (470)
longmemeval-COVERAGE,1.000 (500),1.000 (500),1.000 (500),1.000 (500),,1.000 (500),1.000 (500),0.944 (500),,1.000 (500),1.000 (500)
longmemeval-EOS_COMPLETION,0.390 (500),1.000 (500),1.000 (500),1.000 (500),,1.000 (500),1.000 (500),0.944 (500),,1.000 (500),1.000 (500)
longmemeval-abstention,0.333 (30),0.067 (30),1.000 (30),0.967 (30),,1.000 (30),0.967 (30),0.500 (28),,0.800 (30),0.000 (30)
longmemeval-knowledge-update,0.083 (72),0.792 (72),0.000 (72),0.819 (72),,0.792 (72),0.000 (72),0.783 (69),,0.708 (72),0.694 (72)
longmemeval-multi-session,0.017 (121),0.248 (121),0.000 (121),0.612 (121),,0.421 (121),0.000 (121),0.235 (115),,0.182 (121),0.364 (121)
longmemeval-single-session-assistant,0.054 (56),0.786 (56),0.036 (56),0.911 (56),,0.875 (56),0.018 (56),0.731 (52),,0.696 (56),0.339 (56)
longmemeval-single-session-preference,0.000 (30),0.000 (30),0.000 (30),0.067 (30),,0.000 (30),0.000 (30),0.111 (27),,0.000 (30),0.000 (30)
longmemeval-single-session-user,0.047 (64),0.766 (64),0.000 (64),0.875 (64),,0.797 (64),0.000 (64),0.541 (61),,0.672 (64),0.406 (64)
longmemeval-temporal-reasoning,0.134 (127),0.520 (127),0.008 (127),0.638 (127),,0.559 (127),0.000 (127),0.417 (120),,0.276 (127),0.472 (127)
memoryagentbench-OVERALL,0.371 (3071),0.519 (3071),0.356 (3071),0.854 (3071),0.778 (3061),0.712 (3052),0.221 (3071),0.636 (154),0.524 (3071),0.491 (3071),0.286 (3071)
memoryagentbench-COMPETENCY_MACRO,0.287 (3071),0.519 (3071),0.256 (3071),0.816 (3071),0.733 (3061),0.646 (3052),0.156 (3071),0.636 (154),0.511 (3071),0.461 (3071),0.331 (3071)
memoryagentbench-COVERAGE,1.000 (3071),1.000 (3071),1.000 (3071),1.000 (3071),0.997 (3071),0.994 (3071),1.000 (3071),1.000 (154),1.000 (3071),1.000 (3071),1.000 (3071)
memoryagentbench-EOS_COMPLETION,0.892 (3071),1.000 (3071),1.000 (3071),0.972 (3071),0.959 (3071),0.938 (3071),1.000 (3071),1.000 (154),0.987 (3071),0.997 (3071),1.000 (3071)
memoryagentbench-OVERALL_lenient,0.377 (3071),0.526 (3071),0.382 (3071),0.885 (3071),0.822 (3061),0.773 (3052),0.252 (3071),0.636 (154),0.531 (3071),0.497 (3071),0.295 (3071)
memoryagentbench-comp:Accurate_Retrieval,0.456 (1700),0.616 (1700),0.594 (1700),0.926 (1700),0.855 (1700),0.819 (1700),0.349 (1700),0.636 (154),0.624 (1700),0.592 (1700),0.297 (1700)
memoryagentbench-comp:Conflict_Resolution,0.096 (800),0.236 (800),0.030 (800),0.723 (800),0.568 (790),0.476 (786),0.049 (800),,0.263 (800),0.253 (800),0.158 (800)
memoryagentbench-comp:Long_Range_Understanding,0.028 (71),0.592 (71),0.324 (71),0.789 (71),0.648 (71),0.551 (69),0.155 (71),,0.563 (71),0.465 (71),0.437 (71)
memoryagentbench-comp:Test_Time_Learning,0.566 (500),0.634 (500),0.074 (500),0.828 (500),0.862 (500),0.738 (497),0.070 (500),,0.596 (500),0.534 (500),0.432 (500)
memoryagentbench-detective_qa,0.028 (71),0.592 (71),0.324 (71),0.789 (71),0.648 (71),0.551 (69),0.155 (71),,0.563 (71),0.465 (71),0.437 (71)
